Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0420        -2300.848    -2310.018        9.171   184.3
0.0430        -2300.619    -2309.925        9.306   187.0
0.0440        -2300.481    -2309.839        9.358   188.0
0.0450        -2300.373    -2309.751        9.378   188.4
0.0460        -2300.322    -2309.682        9.359   188.1
0.0470        -2300.105    -2309.617        9.512   191.1
0.0480        -2299.861    -2309.573        9.713   195.2
0.0490        -2299.905    -2309.535        9.630   193.5
0.0500        -2299.878    -2309.511        9.633   193.6
0.0510        -2299.578    -2309.505        9.928   199.5
0.0520        -2299.444    -2309.504       10.060   202.1
0.0530        -2299.217    -2309.512       10.295   206.9
0.0540        -2299.094    -2309.526       10.431   209.6
0.0550        -2298.943    -2309.551       10.608   213.2
0.0560        -2298.916    -2309.568       10.652   214.0
0.0570        -2298.843    -2309.595       10.752   216.1
0.0580        -2298.687    -2309.615       10.927   219.6
0.0590        -2298.776    -2309.637       10.861   218.2
0.0600        -2298.735    -2309.663       10.927   219.6
0.0610        -2298.556    -2309.683       11.127   223.6
0.0620        -2298.498    -2309.712       11.214   225.3
0.0630        -2298.486    -2309.721       11.235   225.8
0.0640        -2298.535    -2309.719       11.184   224.7
0.0650        -2298.303    -2309.712       11.409   229.3
0.0660        -2298.386    -2309.692       11.306   227.2
0.0670        -2298.365    -2309.664       11.299   227.0
0.0680        -2298.473    -2309.624       11.151   224.1
0.0690        -2298.376    -2309.573       11.196   225.0
0.0700        -2298.422    -2309.504       11.082   222.7
0.0710        -2298.306    -2309.430       11.124   223.5
0.0720        -2298.184    -2309.349       11.164   224.3
0.0730        -2298.073    -2309.277       11.203   225.1
0.0740        -2297.732    -2309.203       11.471   230.5
0.0750        -2297.674    -2309.125       11.451   230.1
0.0760        -2297.620    -2309.046       11.426   229.6
0.0770        -2297.622    -2308.963       11.341   227.9
0.0780        -2297.522    -2308.888       11.366   228.4
0.0790        -2297.376    -2308.809       11.433   229.7
0.0800        -2297.201    -2308.745       11.545   232.0
0.0810        -2297.114    -2308.685       11.570   232.5
0.0820        -2297.132    -2308.626       11.494   231.0
0.0830        -2297.127    -2308.575       11.448   230.0
0.0840        -2296.970    -2308.536       11.566   232.4
0.0850        -2296.950    -2308.510       11.559   232.3
0.0860        -2297.149    -2308.500       11.352   228.1
0.0870        -2297.003    -2308.504       11.501   231.1
0.0880        -2296.915    -2308.509       11.594   233.0
0.0890        -2296.830    -2308.529       11.698   235.1
0.0900        -2296.770    -2308.554       11.784   236.8
0.0910        -2296.522    -2308.565       12.044   242.0
0.0920        -2296.460    -2308.588       12.128   243.7
0.0930        -2296.582    -2308.607       12.025   241.6
0.0940        -2296.430    -2308.612       12.182   244.8
0.0950        -2296.449    -2308.608       12.159   244.3
0.0960        -2296.503    -2308.610       12.106   243.3
0.0970        -2296.444    -2308.607       12.163   244.4
0.0980        -2296.396    -2308.597       12.201   245.2
0.0990        -2296.170    -2308.588       12.418   249.5
0.1000        -2296.254    -2308.580       12.326   247.7
0.1010        -2296.169    -2308.567       12.398   249.1
0.1020        -2295.910    -2308.559       12.648   254.2
0.1030        -2295.970    -2308.547       12.578   252.7
0.1040        -2296.083    -2308.531       12.448   250.1
0.1050        -2296.000    -2308.517       12.518   251.5
0.1060        -2295.975    -2308.510       12.534   251.9
0.1070        -2295.852    -2308.516       12.664   254.5
0.1080        -2295.823    -2308.532       12.709   255.4
0.1090        -2295.848    -2308.550       12.702   255.2
0.1100        -2295.832    -2308.573       12.740   256.0
0.1110        -2295.725    -2308.602       12.877   258.8
0.1120        -2295.477    -2308.639       13.162   264.5
0.1130        -2295.450    -2308.664       13.214   265.5
0.1140        -2295.332    -2308.694       13.362   268.5
0.1150        -2295.312    -2308.715       13.403   269.3
0.1160        -2295.304    -2308.719       13.416   269.6
0.1170        -2294.944    -2308.706       13.763   276.6
0.1180        -2294.806    -2308.676       13.870   278.7
0.1190        -2294.922    -2308.643       13.721   275.7
0.1200        -2294.880    -2308.597       13.718   275.6
0.1210        -2294.856    -2308.536       13.680   274.9
0.1220        -2294.922    -2308.456       13.534   272.0
0.1230        -2295.147    -2308.377       13.230   265.9
0.1240        -2294.865    -2308.297       13.431   269.9
0.1250        -2294.663    -2308.210       13.547   272.2
0.1260        -2294.668    -2308.124       13.455   270.4
0.1270        -2294.564    -2308.047       13.483   270.9
0.1280        -2294.561    -2307.976       13.415   269.6
0.1290        -2294.611    -2307.917       13.306   267.4
0.1300        -2294.740    -2307.869       13.129   263.8
0.1310        -2294.740    -2307.823       13.083   262.9
0.1320        -2294.631    -2307.780       13.149   264.2
0.1330        -2294.749    -2307.739       12.990   261.0
0.1340        -2294.642    -2307.701       13.059   262.4
0.1350        -2294.609    -2307.650       13.041   262.1
0.1360        -2294.378    -2307.589       13.211   265.5
0.1370        -2294.255    -2307.515       13.260   266.4
0.1380        -2294.380    -2307.434       13.054   262.3
0.1390        -2294.206    -2307.346       13.139   264.0
0.1400        -2294.105    -2307.250       13.145   264.1
0.1410        -2293.904    -2307.156       13.252   266.3
0.1420        -2293.826    -2307.062       13.237   266.0
0.1430        -2293.651    -2306.959       13.308   267.4
0.1440        -2293.525    -2306.875       13.350   268.3
0.1450        -2293.585    -2306.800       13.215   265.5
0.1460        -2293.535    -2306.732       13.197   265.2
0.1470        -2293.486    -2306.664       13.178   264.8
0.1480        -2293.470    -2306.611       13.141   264.1
0.1490        -2293.386    -2306.565       13.179   264.8
0.1500        -2293.269    -2306.534       13.265   266.6
0.1510        -2293.086    -2306.506       13.421   269.7
0.1520        -2292.942    -2306.488       13.545   272.2
0.1530        -2292.997    -2306.489       13.491   271.1
0.1540        -2293.021    -2306.514       13.493   271.1
0.1550        -2293.015    -2306.556       13.541   272.1
0.1560        -2293.108    -2306.599       13.491   271.1
0.1570        -2293.266    -2306.646       13.380   268.9
0.1580        -2293.255    -2306.703       13.448   270.2
0.1590        -2293.245    -2306.762       13.517   271.6
0.1600        -2293.082    -2306.809       13.727   275.8
0.1610        -2293.144    -2306.848       13.704   275.4
0.1620        -2293.002    -2306.880       13.878   278.9
0.1630        -2292.999    -2306.899       13.900   279.3
0.1640        -2292.890    -2306.895       14.005   281.4
0.1650        -2292.666    -2306.875       14.210   285.5
0.1660        -2292.541    -2306.851       14.310   287.5
0.1670        -2292.402    -2306.814       14.412   289.6
0.1680        -2292.372    -2306.760       14.388   289.1
0.1690        -2292.399    -2306.699       14.300   287.4
0.1700        -2292.538    -2306.637       14.098   283.3
0.1710        -2292.606    -2306.571       13.964   280.6
0.1720        -2292.447    -2306.516       14.069   282.7
0.1730        -2292.354    -2306.460       14.106   283.4
0.1740        -2292.398    -2306.403       14.006   281.4
0.1750        -2292.518    -2306.348       13.830   277.9
0.1760        -2292.597    -2306.297       13.699   275.3
0.1770        -2292.423    -2306.251       13.828   277.9
0.1780        -2292.093    -2306.210       14.117   283.7
0.1790        -2292.121    -2306.167       14.047   282.3
0.1800        -2292.223    -2306.139       13.916   279.6
0.1810        -2292.201    -2306.116       13.915   279.6
0.1820        -2292.134    -2306.098       13.964   280.6
0.1830        -2292.275    -2306.088       13.813   277.6
0.1840        -2292.237    -2306.094       13.856   278.4
0.1850        -2292.151    -2306.116       13.965   280.6
0.1860        -2292.414    -2306.145       13.731   275.9
0.1870        -2292.312    -2306.183       13.871   278.7
0.1880        -2292.315    -2306.237       13.922   279.7
0.1890        -2292.553    -2306.298       13.745   276.2
0.1900        -2292.441    -2306.367       13.926   279.8
0.1910        -2292.432    -2306.434       14.002   281.4
0.1920        -2292.207    -2306.494       14.287   287.1
0.1930        -2292.078    -2306.563       14.485   291.1
0.1940        -2292.026    -2306.617       14.591   293.2
0.1950        -2292.025    -2306.666       14.641   294.2
0.1960        -2291.955    -2306.711       14.757   296.5
0.1970        -2291.978    -2306.755       14.777   296.9
0.1980        -2291.994    -2306.792       14.798   297.4
0.1990        -2292.209    -2306.811       14.602   293.4
0.2000        -2292.374    -2306.811       14.437   290.1
0.2010        -2292.444    -2306.799       14.355   288.5
0.2020        -2292.305    -2306.782       14.477   290.9
0.2030        -2292.280    -2306.760       14.480   291.0
0.2040        -2292.372    -2306.741       14.368   288.7
0.2050        -2292.383    -2306.715       14.332   288.0
0.2060        -2292.375    -2306.693       14.319   287.7
0.2070        -2292.271    -2306.676       14.405   289.5
0.2080        -2292.142    -2306.652       14.510   291.6
0.2090        -2291.800    -2306.610       14.811   297.6
0.2100        -2291.956    -2306.565       14.609   293.6
0.2110        -2291.676    -2306.515       14.839   298.2
0.2120        -2291.839    -2306.458       14.619   293.8
0.2130        -2291.900    -2306.389       14.490   291.2
0.2140        -2291.734    -2306.318       14.583   293.0
0.2150        -2291.903    -2306.243       14.340   288.2
0.2160        -2291.652    -2306.170       14.519   291.7
0.2170        -2291.431    -2306.106       14.675   294.9
0.2180        -2291.313    -2306.050       14.737   296.1
0.2190        -2291.196    -2305.996       14.800   297.4
0.2200        -2291.270    -2305.942       14.672   294.8
0.2210        -2291.410    -2305.893       14.483   291.0
0.2220        -2291.316    -2305.832       14.516   291.7
0.2230        -2291.176    -2305.769       14.593   293.2
0.2240        -2290.976    -2305.703       14.727   295.9
0.2250        -2290.996    -2305.629       14.634   294.1
0.2260        -2291.012    -2305.570       14.558   292.5
0.2270        -2290.980    -2305.521       14.541   292.2
0.2280        -2291.160    -2305.483       14.323   287.8
0.2290        -2291.295    -2305.453       14.158   284.5
0.2300        -2291.322    -2305.421       14.099   283.3
0.2310        -2291.417    -2305.397       13.980   280.9
0.2320        -2291.315    -2305.377       14.062   282.6
0.2330        -2291.175    -2305.352       14.177   284.9
0.2340        -2291.334    -2305.325       13.991   281.1
0.2350        -2291.424    -2305.294       13.870   278.7
0.2360        -2291.516    -2305.271       13.755   276.4
0.2370        -2291.605    -2305.255       13.650   274.3
0.2380        -2291.706    -2305.255       13.549   272.3
0.2390        -2291.546    -2305.271       13.725   275.8
0.2400        -2291.603    -2305.305       13.702   275.3
0.2410        -2291.696    -2305.361       13.665   274.6
0.2420        -2291.876    -2305.438       13.561   272.5
0.2430        -2291.919    -2305.526       13.607   273.4
0.2440        -2291.895    -2305.637       13.743   276.1
0.2450        -2291.794    -2305.769       13.975   280.8
0.2460        -2292.065    -2305.922       13.858   278.5
0.2470        -2292.216    -2306.087       13.871   278.7
0.2480        -2292.300    -2306.263       13.964   280.6
0.2490        -2292.152    -2306.440       14.289   287.1
0.2500        -2292.180    -2306.606       14.426   289.9
0.2510        -2292.337    -2306.766       14.429   289.9
0.2520        -2292.463    -2306.924       14.461   290.6
0.2530        -2292.430    -2307.067       14.637   294.1
0.2540        -2292.688    -2307.189       14.501   291.4
0.2550        -2292.693    -2307.290       14.597   293.3
0.2560        -2292.582    -2307.370       14.788   297.2
0.2570        -2292.709    -2307.440       14.731   296.0
0.2580        -2292.654    -2307.497       14.843   298.3
0.2590        -2292.720    -2307.551       14.831   298.0
0.2600        -2292.764    -2307.619       14.856   298.5
0.2610        -2292.752    -2307.692       14.939   300.2
0.2620        -2292.747    -2307.759       15.012   301.7
0.2630        -2292.787    -2307.824       15.037   302.2
0.2640        -2292.855    -2307.882       15.027   302.0
0.2650        -2292.759    -2307.927       15.168   304.8
0.2660        -2292.689    -2307.961       15.271   306.9
0.2670        -2292.507    -2307.977       15.470   310.9
0.2680        -2292.489    -2307.982       15.493   311.3
0.2690        -2292.372    -2307.973       15.601   313.5
0.2700        -2292.463    -2307.947       15.483   311.1
0.2710        -2292.424    -2307.904       15.480   311.1
0.2720        -2292.372    -2307.845       15.473   310.9
0.2730        -2292.572    -2307.782       15.210   305.6
0.2740        -2292.540    -2307.717       15.177   305.0
0.2750        -2292.525    -2307.645       15.120   303.8
0.2760        -2292.418    -2307.583       15.165   304.7
0.2770        -2292.405    -2307.540       15.135   304.1
0.2780        -2292.507    -2307.525       15.018   301.8
0.2790        -2292.408    -2307.527       15.118   303.8
0.2800        -2292.326    -2307.552       15.225   305.9
0.2810        -2292.353    -2307.603       15.250   306.4
0.2820        -2292.331    -2307.667       15.336   308.2
0.2830        -2292.178    -2307.742       15.564   312.8
0.2840        -2292.035    -2307.813       15.778   317.0
0.2850        -2292.150    -2307.878       15.727   316.0
0.2860        -2292.066    -2307.938       15.872   318.9
0.2870        -2291.870    -2307.999       16.128   324.1
0.2880        -2291.685    -2308.033       16.348   328.5
0.2890        -2291.580    -2308.032       16.453   330.6
0.2900        -2291.421    -2308.020       16.599   333.5
0.2910        -2291.645    -2307.988       16.343   328.4
0.2920        -2291.696    -2307.950       16.254   326.6
0.2930        -2291.574    -2307.897       16.323   328.0
0.2940        -2291.535    -2307.820       16.285   327.2
0.2950        -2291.419    -2307.740       16.322   328.0
0.2960        -2291.657    -2307.661       16.004   321.6
0.2970        -2291.419    -2307.584       16.165   324.8
0.2980        -2291.276    -2307.510       16.233   326.2
0.2990        -2291.369    -2307.439       16.071   322.9
0.3000        -2291.296    -2307.373       16.078   323.1
0.3010        -2291.039    -2307.306       16.268   326.9
0.3020        -2290.973    -2307.245       16.272   327.0
0.3030        -2290.858    -2307.200       16.342   328.4
0.3040        -2290.651    -2307.159       16.508   331.7
0.3050        -2290.665    -2307.110       16.445   330.4
0.3060        -2290.519    -2307.054       16.535   332.3
0.3070        -2290.498    -2306.982       16.484   331.2
0.3080        -2290.627    -2306.921       16.294   327.4
0.3090        -2290.663    -2306.865       16.202   325.6
0.3100        -2290.677    -2306.812       16.135   324.2
0.3110        -2290.699    -2306.747       16.048   322.5
0.3120        -2290.804    -2306.683       15.878   319.1
0.3130        -2290.849    -2306.624       15.775   317.0
0.3140        -2290.948    -2306.560       15.612   313.7
0.3150        -2290.829    -2306.488       15.658   314.6
0.3160        -2290.875    -2306.418       15.543   312.3
0.3170        -2290.989    -2306.363       15.374   308.9
0.3180        -2291.165    -2306.332       15.167   304.8
0.3190        -2291.258    -2306.318       15.060   302.6
0.3200        -2291.093    -2306.322       15.229   306.0
0.3210        -2291.186    -2306.343       15.157   304.6
0.3220        -2291.107    -2306.372       15.265   306.7
0.3230        -2291.338    -2306.411       15.074   302.9
0.3240        -2291.267    -2306.452       15.185   305.1
0.3250        -2291.462    -2306.492       15.030   302.0
0.3260        -2291.363    -2306.538       15.175   304.9
0.3270        -2291.462    -2306.579       15.117   303.8
0.3280        -2291.326    -2306.609       15.283   307.1
0.3290        -2291.354    -2306.637       15.284   307.1
0.3300        -2291.411    -2306.661       15.251   306.4
0.3310        -2291.415    -2306.689       15.274   306.9
0.3320        -2291.486    -2306.725       15.239   306.2
0.3330        -2291.240    -2306.759       15.519   311.8
0.3340        -2291.303    -2306.787       15.484   311.1
0.3350        -2291.392    -2306.810       15.418   309.8
0.3360        -2291.500    -2306.816       15.315   307.8
0.3370        -2291.606    -2306.810       15.204   305.5
0.3380        -2291.542    -2306.795       15.253   306.5
0.3390        -2291.254    -2306.769       15.515   311.8
0.3400        -2291.312    -2306.734       15.422   309.9
0.3410        -2291.381    -2306.698       15.317   307.8
0.3420        -2291.613    -2306.660       15.047   302.4
0.3430        -2291.500    -2306.613       15.113   303.7
0.3440        -2291.655    -2306.556       14.901   299.4
0.3450        -2291.676    -2306.496       14.820   297.8
0.3460        -2291.824    -2306.430       14.607   293.5
0.3470        -2291.811    -2306.366       14.555   292.5
0.3480        -2291.810    -2306.314       14.504   291.4
0.3490        -2291.871    -2306.277       14.406   289.5
0.3500        -2291.870    -2306.254       14.384   289.0
0.3510        -2291.815    -2306.226       14.411   289.6
0.3520        -2291.899    -2306.198       14.299   287.3
0.3530        -2291.895    -2306.185       14.290   287.1
0.3540        -2291.883    -2306.184       14.301   287.4
0.3550        -2292.126    -2306.187       14.061   282.5
0.3560        -2292.187    -2306.192       14.006   281.4
0.3570        -2292.319    -2306.213       13.894   279.2
0.3580        -2292.461    -2306.241       13.780   276.9
0.3590        -2292.536    -2306.276       13.740   276.1
0.3600        -2292.386    -2306.322       13.936   280.0
0.3610        -2292.162    -2306.380       14.218   285.7
0.3620        -2292.156    -2306.453       14.297   287.3
0.3630        -2292.004    -2306.535       14.531   292.0
0.3640        -2291.924    -2306.619       14.695   295.3
0.3650        -2291.935    -2306.709       14.774   296.9
0.3660        -2291.858    -2306.780       14.921   299.8
0.3670        -2291.737    -2306.850       15.112   303.7
0.3680        -2291.555    -2306.914       15.359   308.6
0.3690        -2291.431    -2306.981       15.551   312.5
0.3700        -2291.434    -2307.043       15.609   313.7
0.3710        -2291.415    -2307.098       15.683   315.1
0.3720        -2291.658    -2307.154       15.495   311.4
0.3730        -2291.581    -2307.208       15.627   314.0
0.3740        -2291.695    -2307.253       15.558   312.6
0.3750        -2291.533    -2307.296       15.763   316.8
0.3760        -2291.648    -2307.337       15.688   315.2
0.3770        -2291.688    -2307.368       15.680   315.1
0.3780        -2291.699    -2307.389       15.690   315.3
0.3790        -2291.663    -2307.404       15.742   316.3
0.3800        -2291.709    -2307.409       15.699   315.5
0.3810        -2291.715    -2307.398       15.683   315.1
0.3820        -2291.693    -2307.363       15.669   314.9
0.3830        -2291.913    -2307.310       15.397   309.4
0.3840        -2292.097    -2307.257       15.160   304.6
0.3850        -2291.881    -2307.194       15.313   307.7
0.3860        -2291.933    -2307.127       15.194   305.3
0.3870        -2291.987    -2307.063       15.076   302.9
0.3880        -2291.888    -2306.998       15.110   303.6
0.3890        -2291.778    -2306.939       15.161   304.7
0.3900        -2291.732    -2306.896       15.163   304.7
0.3910        -2291.686    -2306.855       15.169   304.8
0.3920        -2291.864    -2306.809       14.945   300.3
0.3930        -2291.878    -2306.778       14.900   299.4
0.3940        -2292.030    -2306.757       14.727   295.9
0.3950        -2291.883    -2306.744       14.861   298.6
0.3960        -2291.924    -2306.740       14.815   297.7
0.3970        -2291.853    -2306.728       14.874   298.9
0.3980        -2291.973    -2306.715       14.741   296.2
0.3990        -2292.014    -2306.709       14.695   295.3
0.4000        -2291.941    -2306.706       14.765   296.7
0.4010        -2292.056    -2306.721       14.666   294.7
0.4020        -2292.110    -2306.743       14.633   294.0
0.4030        -2292.300    -2306.765       14.465   290.7
0.4040        -2292.088    -2306.783       14.695   295.3
0.4050        -2291.866    -2306.797       14.931   300.0
0.4060        -2291.933    -2306.801       14.867   298.7
0.4070        -2292.093    -2306.797       14.705   295.5
0.4080        -2291.887    -2306.798       14.912   299.6
0.4090        -2291.902    -2306.802       14.901   299.4
0.4100        -2291.762    -2306.802       15.040   302.2
0.4110        -2291.805    -2306.795       14.991   301.2
0.4120        -2291.605    -2306.796       15.191   305.2
0.4130        -2291.707    -2306.804       15.097   303.4
0.4140        -2291.754    -2306.814       15.061   302.6
0.4150        -2291.717    -2306.822       15.104   303.5
0.4160        -2291.839    -2306.838       14.999   301.4
0.4170        -2291.807    -2306.855       15.048   302.4
0.4180        -2291.876    -2306.877       15.001   301.4
0.4190        -2292.016    -2306.911       14.896   299.3
0.4200        -2291.912    -2306.946       15.034   302.1
0.4210        -2291.747    -2306.971       15.224   305.9
0.4220        -2291.698    -2306.995       15.296   307.4
0.4230        -2291.634    -2307.021       15.387   309.2
0.4240        -2291.579    -2307.047       15.468   310.8
0.4250        -2291.596    -2307.058       15.462   310.7
0.4260        -2291.538    -2307.058       15.520   311.9
0.4270        -2291.644    -2307.054       15.410   309.7
0.4280        -2291.650    -2307.050       15.400   309.4
0.4290        -2291.721    -2307.049       15.328   308.0
0.4300        -2291.461    -2307.047       15.586   313.2
0.4310        -2291.380    -2307.050       15.671   314.9
0.4320        -2291.227    -2307.057       15.830   318.1
0.4330        -2291.221    -2307.047       15.826   318.0
0.4340        -2291.258    -2307.030       15.772   316.9
0.4350        -2291.280    -2307.006       15.726   316.0
0.4360        -2291.306    -2306.976       15.670   314.9
0.4370        -2291.247    -2306.937       15.689   315.3
0.4380        -2291.316    -2306.900       15.584   313.2
0.4390        -2291.417    -2306.870       15.453   310.5
0.4400        -2291.580    -2306.860       15.280   307.0
0.4410        -2291.681    -2306.849       15.168   304.8
0.4420        -2291.607    -2306.855       15.249   306.4
0.4430        -2291.663    -2306.888       15.225   305.9
0.4440        -2291.535    -2306.935       15.400   309.4
0.4450        -2291.416    -2306.991       15.576   313.0
0.4460        -2291.477    -2307.047       15.570   312.9
0.4470        -2291.530    -2307.097       15.567   312.8
0.4480        -2291.637    -2307.142       15.505   311.6
0.4490        -2291.772    -2307.170       15.398   309.4
0.4500        -2291.896    -2307.184       15.287   307.2
0.4510        -2291.932    -2307.181       15.249   306.4
0.4520        -2291.905    -2307.150       15.245   306.3
0.4530        -2292.322    -2307.096       14.773   296.9
0.4540        -2292.469    -2307.022       14.554   292.5
0.4550        -2292.458    -2306.933       14.475   290.9
0.4560        -2292.329    -2306.826       14.498   291.3
0.4570        -2292.153    -2306.721       14.567   292.7
0.4580        -2292.278    -2306.617       14.340   288.1
0.4590        -2292.350    -2306.506       14.156   284.5
0.4600        -2292.240    -2306.391       14.151   284.4
0.4610        -2292.246    -2306.283       14.037   282.1
0.4620        -2292.222    -2306.190       13.968   280.7
0.4630        -2292.210    -2306.136       13.926   279.8
0.4640        -2292.025    -2306.114       14.089   283.1
0.4650        -2291.876    -2306.129       14.253   286.4
0.4660        -2291.791    -2306.176       14.384   289.0
0.4670        -2291.864    -2306.251       14.387   289.1
0.4680        -2292.031    -2306.354       14.323   287.8
0.4690        -2291.914    -2306.470       14.556   292.5
0.4700        -2292.155    -2306.601       14.447   290.3
0.4710        -2292.144    -2306.746       14.601   293.4
0.4720        -2292.165    -2306.896       14.731   296.0
0.4730        -2292.236    -2307.045       14.809   297.6
0.4740        -2292.395    -2307.189       14.794   297.3
0.4750        -2292.532    -2307.310       14.778   297.0
0.4760        -2292.562    -2307.412       14.849   298.4
0.4770        -2292.832    -2307.499       14.668   294.7
0.4780        -2292.623    -2307.571       14.948   300.4
0.4790        -2292.601    -2307.620       15.019   301.8
0.4800        -2292.780    -2307.653       14.873   298.9
0.4810        -2292.812    -2307.666       14.854   298.5
0.4820        -2292.788    -2307.655       14.867   298.7
0.4830        -2292.788    -2307.624       14.836   298.1
0.4840        -2292.786    -2307.583       14.797   297.3
0.4850        -2292.647    -2307.529       14.882   299.0
0.4860        -2292.680    -2307.462       14.782   297.0
0.4870        -2292.520    -2307.380       14.860   298.6
0.4880        -2292.461    -2307.292       14.831   298.0
0.4890        -2292.539    -2307.206       14.667   294.7
0.4900        -2292.654    -2307.111       14.457   290.5
0.4910        -2292.666    -2307.016       14.350   288.4
0.4920        -2292.602    -2306.929       14.327   287.9
0.4930        -2292.405    -2306.861       14.455   290.5
0.4940        -2292.389    -2306.809       14.420   289.8
0.4950        -2292.445    -2306.774       14.328   287.9
0.4960        -2292.546    -2306.758       14.212   285.6
0.4970        -2292.487    -2306.756       14.268   286.7
0.4980        -2292.489    -2306.775       14.285   287.1
0.4990        -2292.472    -2306.823       14.351   288.4
0.5000        -2292.245    -2306.887       14.642   294.2
0.5010        -2292.152    -2306.953       14.801   297.4
0.5020        -2292.146    -2307.019       14.873   298.9
0.5030        -2292.081    -2307.073       14.992   301.2
0.5040        -2292.086    -2307.129       15.043   302.3
0.5050        -2292.048    -2307.193       15.145   304.3
0.5060        -2291.761    -2307.266       15.505   311.6
0.5070        -2291.679    -2307.345       15.666   314.8
0.5080        -2291.613    -2307.426       15.813   317.8
0.5090        -2291.893    -2307.500       15.607   313.6
0.5100        -2291.749    -2307.571       15.821   317.9
0.5110        -2291.781    -2307.628       15.847   318.4
0.5120        -2291.830    -2307.669       15.840   318.3
0.5130        -2292.187    -2307.698       15.511   311.7
0.5140        -2292.281    -2307.721       15.440   310.3
0.5150        -2292.225    -2307.740       15.514   311.7
0.5160        -2292.298    -2307.740       15.442   310.3
0.5170        -2292.193    -2307.727       15.534   312.1
0.5180        -2292.022    -2307.698       15.675   315.0
0.5190        -2292.168    -2307.658       15.490   311.3
0.5200        -2292.448    -2307.600       15.153   304.5
0.5210        -2292.508    -2307.532       15.024   301.9
0.5220        -2292.521    -2307.437       14.916   299.7
0.5230        -2292.726    -2307.343       14.617   293.7
0.5240        -2292.495    -2307.248       14.753   296.4
0.5250        -2292.385    -2307.164       14.779   297.0
0.5260        -2292.375    -2307.072       14.697   295.3
0.5270        -2292.505    -2306.983       14.478   290.9
0.5280        -2292.316    -2306.898       14.582   293.0
0.5290        -2292.282    -2306.845       14.563   292.6
0.5300        -2292.128    -2306.799       14.672   294.8
0.5310        -2292.099    -2306.760       14.660   294.6
0.5320        -2292.238    -2306.722       14.484   291.0
0.5330        -2292.264    -2306.691       14.427   289.9
0.5340        -2292.132    -2306.673       14.541   292.2
0.5350        -2292.153    -2306.661       14.508   291.5
0.5360        -2291.921    -2306.645       14.724   295.9
0.5370        -2292.155    -2306.626       14.472   290.8
0.5380        -2292.078    -2306.617       14.539   292.1
0.5390        -2291.883    -2306.619       14.736   296.1
0.5400        -2291.816    -2306.631       14.815   297.7
0.5410        -2291.703    -2306.644       14.941   300.2
0.5420        -2291.595    -2306.655       15.060   302.6
0.5430        -2291.514    -2306.668       15.154   304.5
0.5440        -2291.434    -2306.684       15.249   306.4
0.5450        -2291.313    -2306.692       15.380   309.0
0.5460        -2291.254    -2306.710       15.455   310.6
0.5470        -2291.247    -2306.727       15.480   311.1
0.5480        -2291.294    -2306.733       15.440   310.2
0.5490        -2291.459    -2306.742       15.283   307.1
0.5500        -2291.542    -2306.752       15.210   305.6
0.5510        -2291.627    -2306.770       15.144   304.3
0.5520        -2291.416    -2306.786       15.370   308.8
0.5530        -2291.472    -2306.792       15.320   307.9
0.5540        -2291.481    -2306.784       15.303   307.5
0.5550        -2291.690    -2306.773       15.083   303.1
0.5560        -2291.713    -2306.750       15.038   302.2
